"Type";"Title";"Authors";"Topics";"Journal";"Year";"DOI";"ISSN";"Abstract";"Note";"ISBN"
"article";"Artificial Mind-Interdisciplinary Learning";"Song, D";"Information Interdisciplinarity Artificial Intelligence STEAM";"NEUROQUANTOLOGY";"2017";"10.14704/nq.2017.15.3.1051";"1303-5150";"In recent years, the importance of interdisciplinarity has been realized in the field of education, particularly to prepare students faced with practical real-world problems by mixing disciplines such as science, technology, engineering, and mathematics, an approach known as STEM. While this approach may provide a great opportunity in terms of enhancing creativity and collaboration, potentially more rewarding interdisciplinarity may be provided by the interconnection between STEM and arts-related areas. The present paper relates several interdisciplinary (i.e., the interconnection between science and arts by applying mathematical or algorithmic methods to artistry) education cases that have occurred in the last several years. More recently, with an enormous increase in the amount of data and the increasing speed of computing technology, data and artificial intelligence (AI) based approaches have been used in the stock market. Stock investment education based on simple AI-type algorithmic procedures is also described. In particular, it is significant that most participants had little or no previous experience in stock investment and limited knowledge of algorithms and mathematics, yet abundant business and market intuition combined with simple procedures resembling AI produced fruitful and interesting results.";" ";" "
"article";"Transnational Research Networks in Chinese Scientific Production. an Investigation on Health-Industry Related Sectors";"Rubini, L, Pollio, C, Di, M";"China geriatrics gerontology research quality network complexity social network analysis";"INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH";"2017";"10.3390/ijerph14090975";"1660-4601";"Transnational research networks (TRN) are becoming increasingly complex. Such complexity may have both positive and negative effects on the quality of research. Our work studies the evolution over time of Chinese TRN and the role of complexity on the quality of Chinese research, given the leading role this country has recently acquired in international science. We focus on the fields of geriatrics and gerontology. We build an original dataset of all scientific publications of China in these areas in 2009, 2012 and 2015, starting from the ISI Web of Knowledge (ISI WoK) database. Using Social Network Analysis (SNA), we analyze the change in scientific network structure across time. Second, we design indices to control for the different aspects of networks complexity (number of authors, country heterogeneity and institutional heterogeneity) and we perform negative binomial regressions to identify the main determinants of research quality. Our analysis shows that research networks in the field of geriatrics and gerontology have gradually become wider in terms of countries and have become more balanced. Furthermore, our results identify that different forms of complexity have different impacts on quality, including a reciprocal moderating effect. In particular, according to our analysis, research quality benefits from complex research networks both in terms of countries and of types of institutions involved, but that such networks should be ``compact in terms of number of authors. Eventually, we suggest that complexity should be carefully taken into account when designing policies aimed at enhancing the quality of research.";" ";" "
"article";"Health policy and systems research collaboration pathways-lessons from a network science analysis";"English, K, Pourbohloul, B";"Health policy Systems research Low-and middle-income countries Co-authorship networks Capacity-building";"HEALTH RESEARCH POLICY AND SYSTEMS";"2017";"10.1186/s12961-017-0241-5";"1478-4505";"Background: The 2004 Mexico Declaration, and subsequent World Health Assembly resolutions, proposed a concerted support for the global development of health policy and systems research (HPSR). This included coordination across partners and advocates for the field of HPSR to monitor the development of the field, while promoting decision-making power and implementing responsibilities in low-and middle-income countries (LMICs). Methods: We used a network science approach to examine the structural properties of the HPSR co-authorship network across country economic groups in the PubMed citation database from 1990 to 2015. This analysis summarises the evolution of the publication, co-authorship and citation networks within HPSR. Results: This method allows identification of several features otherwise not apparent. The co-authorship network has evolved steadily from 1990 to 2015 in terms of number of publications, but more importantly, in terms of co-authorship network connectedness. Our analysis suggests that, despite growth in the contribution from low-income countries to HPSR literature, co-authorship remains highly localised. Lower middle-income countries have made progress toward global connectivity through diversified collaboration with various institutions and regions. Global connectivity of the upper middle-income countries (UpperMICs) are almost on par with high-income countries (HICs), indicating the transition of this group of countries toward becoming major contributors to the field. Conclusions: Network analysis allows examination of the connectedness among the HSPR community. Initially (early 1990s), research groups operated almost exclusively independently and, despite the topic being specifically on health policy in LMICs, HICs provided lead authorship. Since the early 1990s, the network has evolved significantly. In the full set analysis (1990-2015), for the first time in HPSR history, more than half of the authors are connected and lead authorship from UpperMICs is on par with that of HICs. This demonstrates the shift in participation and influence toward regions which HPSR primarily serves. Understanding these interactions can highlight the current strengths and future opportunities for identifying new strategies to enhance collaboration and support capacity-building efforts for HPSR.";" ";" "
"article";"Detecting and analyzing research communities in longitudinal scientific networks";"Sciabolazza, V, Vacca, R, Okraku, T, McCarty, C";" ";"PLOS ONE";"2017";"10.1371/journal.pone.0182516";"1932-6203";"A growing body of evidence shows that collaborative teams and communities tend to produce the highest-impact scientific work. This paper proposes a new method to (1) Identify collaborative communities in longitudinal scientific networks, and (2) Evaluate the impact of specific research institutes, services or policies on the interdisciplinary collaboration between these communities. First, we apply community-detection algorithms to cross-sectional scientific collaboration networks and analyze different types of co-membership in the resulting subgroups over time. This analysis summarizes large amounts of longitudinal network data to extract sets of research communities whose members have consistently collaborated or shared collaborators over time. Second, we construct networks of cross-community interactions and estimate Exponential Random Graph Models to predict the formation of interdisciplinary collaborations between different communities. The method is applied to longitudinal data on publication and grant collaborations at the University of Florida. Results show that similar institutional affiliation, spatial proximity, transitivity effects, and use of the same research services predict higher degree of interdisciplinary collaboration between research communities. Our application also illustrates how the identification of research communities in longitudinal data and the analysis of cross-community network formation can be used to measure the growth of interdisciplinary team science at a research university, and to evaluate its association with research policies, services or institutes.";" ";" "
"article";"Impelling research productivity and impact through collaboration-a scientometric case study of knowledge management";"Ceballos, H, Fangmeyer, J, Galeano, N, Juarez, E, Cantu-Ortiz, F";"Knowledge management Social network analysis Scientometrics Case study University Research";"KNOWLEDGE MANAGEMENT RESEARCH \& PRACTICE";"2017";"10.1057/s41275-017-0064-8";"1477-8238";"A case study for impelling university research productivity and impact through collaboration is presented. Scientometric results support the hypothesis that a knowledge management model increased research collaboration and thereby boosted a universitys number of publications and citations. Results come from fifteen years of data at a Mexican university with 2400 researchers who produced 24,000 works in fifteen research disciplines. These data are treated with social network visualizations and algorithms to identify patterns of collaboration and clustering, as well as with normalizations to make disciplines comparable and to verify increasing citation impact. The knowledge management model implemented in the study may be a cost-effective way for universities to intensify collaboration and improve research performance.";" ";" "
"article";"Diamond Open Access in the quest for interdisciplinarity and excellence";"Gajovic, S";" ";"CROATIAN MEDICAL JOURNAL";"2017";"10.3325/cmj.2017.58.261";"0353-9504";" ";" ";" "
"article";"Examining the Impact of Interdisciplinary Programs on Student Learning";"Lattuca, L, Knight, D, Seifert, T, Reason, R, Liu, Q";"Interdisciplinarity Curriculum Learning outcomes";"INNOVATIVE HIGHER EDUCATION";"2017";"10.1007/s10755-017-9393-z";"0742-5627";"We investigated how learning outcomes of students majoring in interdisciplinary fields differ from those of students in discipline-based majors. We found that students in interdisciplinary majors report less change in Critical Thinking and Need For Cognition than their peers in disciplinary majors, but no difference in change in Positive Attitude Toward Literacy. Students gains in Critical Thinking and Need For Cognition do not vary by the characteristics of the interdisciplinary major, but some program characteristics influence modest changes in Positive Attitudes Toward Literacy. Future research should address selection effects, develop measures of interdisciplinary learning, and further explore curricular and instructional patterns in interdisciplinary programs.";" ";" "
"article";"Contradicting incentives for research collaboration";"Wien, C, Dorch, B, Larsen, A";"Reward systems Denmark Incentives effects Case study";"SCIENTOMETRICS";"2017";"10.1007/s11192-017-2412-0";"0138-9130";"This study describes the Danish publication award system (BFI), investigates whether its built-in incentives have had an effect on publication behavior at the University of Southern Denmark, and discusses the possible future implications on researcher incentives should universities wish to measure BFI on the individual level. We analyzed publication data from the university CRIS system (Pure) and from SciVal. Several studies indicate that co-authored scholarly journal articles attract more citations than single author articles. The reason for this are not clear, however, research collaboration across institutions and countries is commonly accepted in the research community and among university managements as one way of increasing the researchers and institutions reputation and impact. The BFI system is designed to award scholarly publication activity at Danish universities, especially publication in international journals of high status. However, we find that the built-in incentives leave the researcher and his or her institution with a dilemma: If the researchers optimize their performance by forming author groups with external collaborators, the optimal way of doing so for the researchers is not the optimal way seen from the perspective of the university. Our analysis shows that the typical article has 6.5 authors, two of which are internal, and that this has remained stable since the introduction of the BFI. However, there is variation across the disciplines. While `the Arts and Humanities and `the Social Sciences seem to compose author groups in a way which does not optimize the performance of the institution, both `Health and `the Natural Sciences seem to optimize according to criteria other than those specified in the BFI.";" ";" "
"article";"Scientist and stakeholder perspectives of transdisciplinary research-Early attitudes, expectations, and tensions";"Thompson, M, Owen, S, Lindsay, J, Leonard, G, Cronin, S";"Transdisciplinary research Knowledge co-production Resilience Stakeholder engagement Risk";"ENVIRONMENTAL SCIENCE \& POLICY";"2017";"10.1016/j.envsci.2017.04.006";"1462-9011";"Transdisciplinary approaches are becoming increasingly adopted as a way to research complex socioenvironmental problems. Conceptually, transdisciplinarity aims to foster meaningful knowledge co-production through integrative and participatory processes that bring together diverse actors, disciplines, and knowledge bases. In practice, transdisciplinarity is more ambiguous. While there is a growing body of literature on such approaches, there remains no widely-accepted definition, concrete framework, or empirical strategy for how to carry out a transdisciplinary project. We propose that this lack of explicit structure and entrenched meaning leaves space for transdisciplinary approaches to be shaped by the evolving network of participating scientists and stakeholders, according to their perspectives of the approach and what it embodies. Here, we examine the perspectives of a diverse group of actors (n = 42) embarking on a 10-year transdisciplinary research project focused on building resilience to natural hazards and disasters in New Zealand. We present the findings of qualitative surveys and group interviews that investigate stakeholders and scientists early perspectives of transdisciplinary, or co-created, research. The study represents the first stage of longitudinal research that will continue over the course of the project. Results show that early actors in the project share an overall consistent understanding of co-created research. Participants described a process that integrated diverse people and knowledge; created benefits on both a social and personal level; fostered clear, two-way dialogue; and overcame pragmatic and intrinsic challenges. Collectively, participants agreed with adopting transdisciplinary approaches to natural hazard, risk, and resilience research, with stakeholders showing a stronger degree of agreement than scientists. While attitudes towards transdisciplinarity were overall positive, a number of underlying conflicts emerged in regards to carrying out new modes of knowledge production within traditional social and institutional structures. These conflicts result in a tension that is felt by actors involved in transdisciplinary projects early on, and in some cases, influences perception of their ability to fully participate in such an approach. Evaluating actor perspectives and expectations early in the transdisciplinary process can give insight into how attitudes, expectations, and conflicts might shape transdisciplinary efforts, and can provide relevant parameters for assessing change over time.";" ";" "
"article";"EXPERIENCES OF INTER- AND TRANSDISCIPLINARY RESEARCH-a TRAJECTORY OF KNOWLEDGE INTEGRATION WITHIN a LARGE RESEARCH CONSORTIUM";"Schoenenberg, R, Boy, J, Hartberger, K, Schumann, C, Guggenberger, G, Siebold, M, Lakes, T, Lamparter, G, Schindewolf, M, Schaldach, R, Nendel, C, Hohnwald, S, Meurer, K, Gerold, G, Klingler, M";"interdisciplinarity transdisciplinarity knowledge integration knowledge communities scientific cultures";"ERDKUNDE";"2017";"10.3112/erdkunde.2017.03.02";"0014-0015";"Although inter-and transdisciplinary research has found its way to the forefront of calls, funding and publications, interdisciplinary projects often start from scratch constructing their research environment. In this article we will point to the enormous potential, the learnings, as well as some of the difficulties and pitfalls frequently encountered in large interdisciplinary project consortia. With this in mind, we aim to transparently document and reflect upon our research process, reminding the readers that the authors are not academic specialists in the field of inter-and transdisciplinarity nor in the sociology of knowledge. To explain our motivation, we want to share valuable experiences and point to some learnings, especially regarding the interdependencies between inter- and transdisciplinarity. After a brief historical retrospective of the expectations towards science, the article describes the trajectory of knowledge production and integration of a rather large research consortium attempting to overcome typical communicative and conceptual hurdles while negotiating the strict preconceptions of the respective disciplines. During the process of knowledge integration, scientific recognition and time budgets remain the crucial challenges. Besides joint field research, the construction of four storylines and the continuous integration of data into the various and increasingly interlinked models that ultimately culminate in our future scenarios led to constant communication and disputes among the subprojects involved. During the course of the project, it became obvious that a new generation of young scientists is developing: scientists working in interdisciplinary and transdisciplinary thought communities with a grasp of both fundamental science and transdisciplinary practice, combined with the soft skills necessary to reconcile both worlds.";" ";" "
"article";"Crossing borders-a citation analysis of connections between Cognitive Science and Educational Research ... and the fields in between";"Youtie, J, Solomon, G, Carley, S, Kwon, S, Porter, A";"Educational Research Cognitive Science bibliometrics interdisciplinarity Border Fields";"RESEARCH EVALUATION";"2017";"10.1093/reseval/rvx020";"0958-2029";"For decades, there have been calls for bringing the Cognitive Science literature and Educational Research literature into greater and more systematic contact, resulting in the publication of a number of influential papers and the launch of targeted federal funding programs around the turn of the century. This article explores the extent of the integration of Cognitive Science into the Educational Research literature at around that time by means of a citation analysis of journal articles published between 1994 and 2014. Results reveal a marked increase in the citation of Cognitive Science articles by Educational Research articles beginning around the year 2000. They also show a similar increase in citation by Educational Research articles of articles appearing in `Border field journals (i.e. Educational Psychology, the Learning Sciences, Human-Computer Interaction, and Applied Linguistics). Border Field articles, in turn, show a relatively high percentage of citation of articles in both Education Research and Cognitive Science, suggesting that they may serve as a pathway for the flow of knowledge between fields. These trends held for papers with US authors as well as those with non-US authors. Limitations of citation analysis are discussed along with suggestions for future research.";" ";" "
"article";"The Interdisciplinarity of Collaborations in Cognitive Science";"Bergmann, T, Dale, R, Sattari, N, Heit, E, Bhat, H";"Interdisciplinarity Jensen-Shannon divergence Publication history Scientometrics Big data";"COGNITIVE SCIENCE";"2017";"10.1111/cogs.12352";"0364-0213";"We introduce a new metric for interdisciplinarity, based on co-author publication history. A published article that has co-authors with quite different publication histories can be deemed relatively interdisciplinary, in that the article reflects a convergence of previous research in distinct sets of publication outlets. In recent work, we have shown that this interdisciplinarity metric can predict citations. Here, we show that the journal Cognitive Science tends to contain collaborations that are relatively high on this interdisciplinarity metric, at about the 80th percentile of all journals across both social and natural sciences. Following on Goldstone and Leydesdorff (2006), we describe how scientometric tools provide a valuable means of assessing the role of cognitive science in broader scientific work, and also as a tool to investigate teamwork and distributed cognition. We describe how data-driven metrics of this kind may facilitate this exploration without relying upon rapidly changing discipline and topic keywords associated with publications.";" ";" "
"article";"Interdisciplinary and collaborative work-Framing promotion and tenure practices and policies";"Klein, J, Falk-Krzesinski, H";"Interdisciplinary Collaborative and team Promotion and tenure Organizational policy and management Innovation";"RESEARCH POLICY";"2017";"10.1016/j.respol.2017.03.001";"0048-7333";"Interdisciplinarity and collaboration are keywords for change in the 21st century. Both, however, face challenges across the entire academic system, from administrative policies and budget formulas to disciplinary cultures of research and education. This Research Note is the first synthesis of findings from literature and models for practices and policies that recognize interdisciplinary and collaborative work in the promotion and tenure (P\&T) process, brought together in a table of recommendations. Creating a culture of reward requires consistency, alignment, and comprehensiveness at all stages and levels of evaluation, from defining expectations in the initial appointment to preparing individual candidates dossiers to incorporating appropriate criteria. Several organizations have led the way in formulating recommendations for recognizing interdisciplinary and collaborative work. Professional societies and academic administrators at local levels are also providing leadership. Institution-wide policies are rare though do exist. More often individual units are issuing guidelines for appropriate evaluation. A number of studies have also called for widening definition of what counts for consideration, including innovative, applied, and commercial research and development. The overriding lesson to emerge is the importance of a systematic and informed approach. (C) 2017 Published by Elsevier B.V.";" ";" "
"article";"Discovering the interdisciplinary nature of Big Data research through social network analysis and visualization";"Hu, J, Zhang, Y";"Big Data research Interdisciplinary collaboration Network structure and patterns Visualization";"SCIENTOMETRICS";"2017";"10.1007/s11192-017-2383-1";"0138-9130";"Big Data is a research field involving a large number of collaborating disciplines. Based on bibliometric data downloaded from the Web of Science, this study applies various social network analysis and visualization tools to examine the structure and patterns of interdisciplinary collaborations, as well as the recently evolving overall pattern. This study presents the descriptive statistics of disciplines involved in publishing Big Data research; and network indicators of the interdisciplinary collaborations among disciplines, interdisciplinary communities, interdisciplinary networks, and changes in discipline communities over time. The findings indicate that the scope of disciplines involved in Big Data research is broad, but that the disciplinary distribution is unbalanced. The overall collaboration among disciplines tends to be concentrated in several key fields. According to the network indicators, Computer Science, Engineering, and Business and Economics are the most important contributors to Big Data research, given their position and role in the research collaboration network. Centering around a few important disciplines, all fields related to Big Data research are aggregated into communities, suggesting some related research areas, and directions for Big Data research. An ever-changing roster of related disciplines provides support, as illustrated by the evolving graph of communities.";" ";" "
"article";"With whom do researchers collaborate and why?";"Iglic, H, Doreian, P, Kronegger, L, Ferligoj, A";"Scientific collaboration Collaboration levels International collaboration Collaboration with industry Biotechnology Mathematics Physics Sociology";"SCIENTOMETRICS";"2017";"10.1007/s11192-017-2386-y";"0138-9130";"Although research collaboration has been studied extensively, we still lack understanding regarding the factors stimulating researchers to collaborate with different kinds of research partners including members of the same research center or group, researchers from the same organization, researchers from other academic and non-academic organizations as well as international partners. Here, we provide an explanation of the emergence of diverse collaborative ties. The theoretical framework used for understanding research collaboration couples scientific and technical human capital embodied in the individual with the social organization and cognitive characteristics of the research field. We analyze survey data collected from Slovenian scientists in four scientific disciplines: mathematics; physics; biotechnology; and sociology. The results show that while individual characteristics and resources are among the strongest predictors of collaboration, very different mechanisms underlie collaboration with different kinds of partners. International collaboration is particularly important for the researchers in small national science systems. Collaboration with colleagues from various domestic organizations presents a vehicle for resource mobilization. Within organizations collaboration reflects the elaborated division of labor in the laboratories and high level of competition between different research groups. These results hold practical implications for policymakers interested in promoting quality research.";" ";" "
"article";"Evaluating the impact of interdisciplinary research-a multilayer network approach";"Omodei, E, De, M, Arenas, A";"citation networks interconnected multilayer networks interdisciplinarity";"NETWORK SCIENCE";"2017";"10.1017/nws.2016.15";"2050-1242";"Nowadays, scientific challenges usually require approaches that cross traditional boundaries between academic disciplines, driving many researchers towards interdisciplinarity. Despite its obvious importance, there is a lack of studies on how to quantify the influence of interdisciplinarity on the research impact, posing uncertainty in a proper evaluation for hiring and funding purposes. Here, we propose a method based on the analysis of bipartite interconnected multilayer networks of citations and disciplines, to assess scholars, institutions, and countries interdisciplinary importance. Using data about physics publications and US patents, we show that our method allows to reward, using a quantitative approach, scholars and institutions that have carried out interdisciplinary work and have had an impact in different scientific areas. The proposed method could be used by funding agencies, universities and scientific policy decision makers for hiring and funding purposes, and to complement existing methods to rank universities and countries.";" ";" "
"article";"The Normative Dimension in Transdisciplinarity, Transition Management, and Transformation Sciences-New Roles of Science and Universities in Sustainable Transitioning";"Scholz, R";"transdisciplinarity transition management transformative science normative issues in science societal demands roles of scientists";"SUSTAINABILITY";"2017";"10.3390/su9060991";"2071-1050";"This paper discusses the role normative aspects play in different approaches of science-practice collaboration, in particular as action research, (Mode 2) Transdisciplinarity (Td), Transition Management (TM), and Transformative Science (TSc). We elaborate on the different roles that scientists in these processes play. They work as facilitators (or contribute to a facilitated Td process), as activists (i.e., activist researchers) in TM projects, and as catalysts in TSc. Td processes develop socially robust solutions for sustainable transitioning and impacts on the science system through mutual learning and by integrating epistemics (i.e., ways of knowing) from science and practice and focusing on the empowerment of stakeholders. Science is viewed as a public good aiming to serve all key stakeholders. Researchers involved in TM projects strive to influence ongoing transition processes by actively engaging and participating in them, including lobbying for and empowering transformative changes toward sustainability based upon the researchers own analyses and world views. The TSc approach takes a catalyst perspective of the scientists role in inducing processes of strategic (societal) transition when including certain stakeholder groups. The paper focuses on what roles normative aspects play in the different approaches and new societal demands imposed on science and universities. Based on this, we conclude that a new order of universities, public knowledge institutions, and boundary institutions is forthcoming.";" ";" "
