annotation,normalizedUnweightedBetweennessCentrality
neonatal,0.019378014281853345
murine,0.01928394578091316
Asian,0.01927235911046237
India,0.019264247938109515
growth factor,0.019186056067207483
microscopy,0.019081102128160388
Time,0.018939886376059954
sodium,0.01877836934916275
Earth,0.01869685897171253
dispersion,0.01847364237172335
apoptosis,0.018405334110545127
cortex,0.018384241378743008
malignant,0.018304352228620688
Cu,0.018234825137476027
economics,0.01821601741451575
chromosome,0.017980761591142914
radiotherapy,0.017978949677226394
graph,0.01791320624902206
acceleration,0.017855098767915908
breast cancer,0.017813051525037166
SEM,0.01777374404611873
fracture,0.017713877877722547
transcription,0.017712070403307554
entropy,0.017674201066201753
photon,0.017638187149578988
epidemiological,0.01748474119226206
anatomy,0.017466290212077316
MR,0.017444243882224812
cytokine,0.01740625827447853
momentum,0.017395899133220722
Northern,0.017318005834498745
Sweden,0.017072777233359763
ecology,0.017045329184015325
Mediterranean,0.01703871083560657
stroke,0.01703411741743827
perfusion,0.017003517037238427
polymer,0.016998596111549216
H-1,0.01695102687145238
allele,0.016829004453446133
biopsy,0.0167863021328325
sleep,0.016763123876950087
metabolite,0.01666517764125331
psychology,0.016642360049451434
H2O,0.016551794330186158
clinical trial,0.016514836200709652
circle,0.016512132413331087
biomarker,0.016509442949605296
ultrasound,0.016438160696646848
pediatric,0.016415665270035556
satellite,0.0164133184583171
homeostasis,0.016240619151711894
nerve,0.016207400133863376
ionization,0.016078979272379584
chain reaction,0.015945543920823972
etiology,0.015915007369569422
Test,0.015747471715847224
sedimentary,0.015700042051998448
computed tomography,0.015652879382577773
gold standard,0.015536695955008792
cytokines,0.015531362217935753
aquatic,0.015520652066251552
biosynthesis,0.015500694514271144
moiety,0.015405326660756486
Asia,0.01538184328155077
fungi,0.015368114665420353
asymptotic,0.015323659006199418
fibroblasts,0.015275653023284071
norm,0.015142711172872674
catalyst,0.015139349006880853
antagonist,0.015117055834904258
CD4,0.01507754107875504
adsorption,0.015075406337735993
metric,0.014959431685940636
histology,0.014800060430935085
hazard ratio,0.01477580316850024
magnetic field,0.01477188322481402
developing countries,0.014770823202584143
luminosity,0.014747969352077566
multivariate analysis,0.014702155224552779
cardiovascular disease,0.014568935153064112
magnetic resonance imaging,0.014554765788136812
North America,0.014511259060413015
philosophy,0.014448541932583376
R-2,0.01438857263143402
infarction,0.014257160327271595
6 years,0.014250428906526624
homology,0.014241030817064026
fossil,0.014214403514782715
endothelial,0.014053099522245923
covariance,0.01392082907774637
colon,0.01380325831104037
physiology,0.013738684441931303
kidney,0.01369224525257728
HIV-1,0.013548713507630563
breast,0.013485728124558114
observational study,0.013302845898380114
Brazil,0.01330112145989377
biodiversity,0.013240050065335594
IgG,0.013230766439502379
mite,0.01319712004834385
conjecture,0.013164929038036805
endoscopic,0.01313185535997043
taxonomic,0.013110225116347855
confidence intervals,0.013038470113702313
fibrosis,0.012981029821935032
T1,0.012977173897105967
ethnographic,0.012956307677363166
correlation coefficient,0.01294639610461814
antigens,0.012927575076333731
lens,0.012916765812348314
respiration,0.012910762236018601
reservoir,0.012855982296642112
AUC,0.012853630266940025
agonist,0.012840589115287864
rheumatoid arthritis,0.012833066515578959
Norway,0.012813319468350378
somatic,0.012756852857256423
pathophysiology,0.012755482850257112
hypertension,0.012743902892280942
Pb,0.012725099752649427
retinal,0.012675212775121647
mantle,0.012659468911556108
kinase,0.012612605289753755
ethics,0.012611217228630508
physician,0.012587482522823712
carbonate,0.012586061687889519
multiple sclerosis,0.012582561110465077
dementia,0.012544828120829401
HPLC,0.012465103447533814
copper,0.012448371659753384
homozygous,0.012441790152958498
kinematics,0.012429688914160334
conformation,0.012413686344036811
heuristic,0.012413572351217695
pathogen,0.012390600522958053
acoustic,0.012348325269384442
yeast,0.012333459583550957
permeability,0.01224334210921837
phosphorylation,0.012211767791492696
Spanish,0.012210070999506684
recombination,0.012198287805430539
risk assessment,0.012169230430442253
partition,0.012075453651753063
unravel,0.012000487886122142
mmHg,0.011989668247024764
Russia,0.011987590067787521
insulin,0.011980999947866666
bone marrow,0.011902154031578665
London,0.01190166128476619
Holocene,0.011871626579724648
plateau,0.011855420645668212
groundwater,0.011828995875625178
cytotoxic,0.011693048773954204
controlled trials,0.011675115209523341
collagen,0.011658937960373462
IQR,0.0116122813276658
longitudinal study,0.011554064856399024
aromatic,0.011526540820775671
Turkey,0.011470758973019187
immunity,0.011450465329185039
fatty acid,0.011406814429354106
white matter,0.011404187353704708
accretion,0.011397299751637715
polymorphism,0.011395822286789694
Science Inc.,0.011377026213041373
asthma,0.011349218358669682
T-cell,0.011306085663151855
colony,0.011299518257163244
curvature,0.011252444770052699
metastatic,0.011197133296292804
Gaussian,0.011182677812419713
emotion,0.011178400812998682
congenital,0.01117217588613187
shear,0.011144690394925785
attenuation,0.011079229815850052
cation,0.010978582249739433
vertical bar,0.010945312962993049
nucleotide,0.010902328130788206
myocardial,0.010886602708023094
malaria,0.010855180611538801
refractory,0.010848727618063918
polynomial,0.010780181767349973
orbit,0.01074196582135743
schizophrenia,0.0107359483262025
MHz,0.010707338477321273
ice,0.01070002989415421
stiffness,0.010683267483379905
lipoprotein,0.010639347508003912
neutron,0.010622025148996909
orthogonal,0.010543783080284284
volatility,0.01052266199130139
sedimentation,0.010498259231441402
necrosis,0.010469406691314104
kinematic,0.010440090584604047
priming,0.010437583934624774
Ghana,0.010433954662576494
Atlantic,0.010405840201087466
antibiotics,0.010399104948878184
hydrophobic,0.010384885169794932
Caribbean,0.01036034228046403
molecular weight,0.010306998223668741
Canada,0.010300061702324665
psychometric,0.010263296879915366
macrophage,0.010247466929652753
Indonesian,0.010187962714358914
antibiotic,0.010161335518143485
Turkish,0.010101701597664593
N-terminal,0.010098494910381374
rhythm,0.010030102540138575
coral,0.010022055232993944
anthropogenic,0.010015119160973352
contralateral,0.009953698155143575
Israel,0.009939098218508703
PC,0.009928685118065763
relative risk,0.009900915336161475
geochemical,0.009873554462518412
cervical,0.009867436030663475
EEG,0.009860306079842559
endothelial cells,0.009858909294714087
central nervous system,0.009829182946754719
ethanol,0.009827933626024833
semantics,0.009805359893640666
SNPs,0.009798111068966808
cutaneous,0.009763438113493316
pig,0.009758592209170842
atrophy,0.009723470887162357
gestational age,0.0097070483899996
Kenya,0.00967629154534136
dopamine,0.009647651501752747
univariate,0.009646462221692116
transcription factor,0.0096142563998373
psychopathology,0.009590622234042221
cloud,0.009585052854674014
Sigma,0.009537241818035742
crystal structure,0.00946089361160851
phenomenological,0.00945914751703807
elasticity,0.00943679370805395
chiral,0.009377131584913507
tracer,0.009362961359227442
fractionation,0.009338004786547473
bandwidth,0.009331327774876124
harmonic,0.009321027748811028
content analysis,0.009320959275297398
AIDS,0.009295807420466252
heterozygous,0.00928809468305852
tectonic,0.009270403110406555
H-3,0.009269125310556832
phosphorus,0.009261872282504153
cerebrospinal fluid,0.009240508332978273
rock,0.009225368124356174
Wiley,0.009210632568620033
black hole,0.009210017082299649
O-2,0.009200298617421124
silica,0.009195292386935758
Denmark,0.009191783698931099
agriculture,0.009173171589825467
HD,0.009166112536843003
taxonomy,0.009157859399420935
clay,0.009157515233687828
molar,0.009090150818789899
wk,0.009076888103294833
nursing,0.009056391658228068
Spearman,0.00904900268974272
salinity,0.009007548217835852
solar,0.0089491505924029
PET,0.008903161429372404
hippocampus,0.008901398735787347
near-infrared,0.008896036693992871
congruent,0.00888470245202546
ppm,0.0088641763292452
angstrom,0.008860163559896071
crossover,0.008839521877424083
modal,0.008831822790792962
hippocampal,0.00880361503610351
statistical significance,0.008781042547893256
GeV,0.008780232683222
vaccination,0.008778032090378305
cytotoxicity,0.008775492134977848
zinc,0.008741585817828901
insect,0.008738325603575795
England,0.008673756172620069
immune response,0.008661620654379086
ICC,0.008650627113870565
latency,0.008632900419291642
redox,0.008617509495293073
ATP,0.008603758517324008
interquartile range,0.008577771904361535
coagulation,0.008499102471316418
United Kingdom,0.008497447728954124
autosomal recessive,0.0084650985604404
tuberculosis,0.008459512426235306
silent,0.008434953424051303
carbon dioxide,0.008425997328457998
chloride,0.008407837950837035
lymphocytes,0.008393616026444362
anisotropy,0.008365452386331278
metastases,0.008364056906900716
topical,0.008331471036679496
Italian,0.00830885621305458
manifold,0.008301035857372841
T cell,0.008265115608999913
transgenic,0.008264126475689368
proposition,0.008214138854796035
Markov,0.008181912283296105
dye,0.00816725072341795
Black,0.008143516534326054
OS,0.008142246704403515
flow cytometry,0.008135908352519339
Sci,0.008108784654262959
pharmacokinetics,0.008069981858218967
homologous,0.00803686287728823
prospective cohort study,0.008026039508410427
monoclonal antibodies,0.008014805528715419
ester,0.008009539649235814
Rotterdam,0.008009467650911555
scalar,0.008006690734469624
pharmacokinetic,0.00800423182611474
gestation,0.007980925312845027
facies,0.007975702629857024
chromatography,0.007965707446915375
lymph node,0.00796495341785954
Russian,0.007961285201720422
mathematical model,0.007938785989957804
systematic review,0.007919754326900393
parasite,0.00790715188569897
algae,0.007899682590008257
positron,0.007861442142432831
wild type,0.007849034293272522
evaporation,0.007846852716137644
Seventeen,0.007821982468072365
Christian,0.007794366690988134
testosterone,0.0077541007601719045
epilepsy,0.00773613569792942
sugar,0.007734356115152046
idiopathic,0.0077318827563101185
potassium,0.007729537359916518
subcutaneous,0.007720176377835303
self-efficacy,0.007709227178978481
immune system,0.007699513776832081
reserve,0.007695057302825662
Japan,0.007662367831266742
neutrophils,0.007655667349887122
genetic variation,0.007651276549524779
vaccine,0.007636541327131698
saliva,0.0076255135412925685
DC,0.007607858616011078
primary care,0.007589349740077797
God,0.007581345043210939
mirror,0.007568213683809934
Mexico,0.007561512193707978
focus group,0.007555651189535609
SNP,0.007551135730174634
Latin,0.007522451899703204
epidemiology,0.007483887269873233
IL-6,0.007450552547037234
fasting,0.007448613008843579
sepsis,0.007428998793120896
hydrolysis,0.007411733707291524
systolic,0.007383567627597283
DOI,0.007375041188528779
predatory,0.00737217262773529
lymphoma,0.0073715298011338675
metaphor,0.0073708120759023435
monoclonal antibody,0.007365044080978489
oxidative stress,0.007303853779261709
comorbidity,0.0072990933719321366
liquid chromatography,0.0072972224009156235
X-ray diffraction,0.007292808603555814
blockade,0.007268072078948406
aetiology,0.007260472920115214
heritage,0.007225855165510634
nanoparticles,0.007203888248897176
GC-MS,0.007181568831911431
anion,0.007180474934078226
dimer,0.00717977950660757
advantageous,0.0071771481874017525
gait,0.0071524942497602426
thoracic,0.0071295127516338985
Angstrom,0.0071276080283051045
plain,0.0071205535589076874
causality,0.007111328389569208
18 months,0.007044701667584784
intramolecular,0.0070290001910836425
The standard,0.007015482308473953
manuscript,0.007007903250806324
"Academic Press, Inc.",0.006976270541253251
Greece,0.006975551462491935
ANOVA,0.006970921394500287
carbohydrate,0.006959978888078031
working memory,0.006957617356244688
paradox,0.006957598120739681
viscosity,0.006942170848343455
pigment,0.006929656619480241
platelet,0.006916989716200806
aortic,0.006914612904869849
RT,0.006912763530329399
ultraviolet,0.006877175677479644
histopathological,0.006872684805694488
vesicles,0.006856942194185371
anisotropic,0.006854760304590056
South America,0.006853093998510201
The age,0.006831453286531332
ADHD,0.006795220797956479
haplotype,0.0067871841231942984
microarray,0.006741843790504755
Hamiltonian,0.006731540302363454
Iran,0.006729554627453593
critical role,0.006723917692238255
ischemia,0.006723190369494691
species richness,0.006722087244904955
transect,0.006688251178311883
intelligence,0.0066856280929471525
triplet,0.006680341840524564
combinatorial,0.006671465007147465
benthic,0.006669355455914546
aerobic,0.006643248967106908
Ga,0.0066354661455681856
valve,0.006632447521449742
magnetic resonance imaging (MRI),0.006618545379198515
gel,0.006589252455274169
principal component analysis,0.006578809688483907
heart failure,0.006578688381295803
polymorphic,0.0065657695478660814
C-terminal,0.006549277342412191
methylation,0.00654718827628932
image analysis,0.006522563574836707
phenyl,0.006519109372914056
volcanic,0.006514337607501587
musculoskeletal,0.006505544225503828
fever,0.006474810405035657
Miocene,0.006473964358652244
strings,0.0064619859253086985
SAS,0.006459645983275328
immunohistochemical,0.006451390037055681
adaptation.,0.006444633162911369
seizures,0.006443150511718446
methanol,0.006441686384903408
population dynamics,0.006428316961522063
antimicrobial,0.006414805273131027
ammonia,0.006400521106242184
relativistic,0.0063960085138425335
anti-inflammatory,0.006391193680653166
atherosclerosis,0.006373540326071123
social media,0.006369318665847638
recycling,0.006365260473297677
crust,0.0063416168990186265
geography,0.006327905454944037
antioxidant,0.006299670869412712
immunoreactivity,0.006287700670085526
cortisol,0.006274897766718546
IU,0.006269877171591627
bovine,0.006267645018357603
electron microscopy,0.0062621058457245525
open access,0.00625887094874868
AI,0.006253194185384537
comorbid,0.006244588828037149
electrode,0.006204855767643284
spinal cord,0.006201208418670104
type 2 diabetes,0.0061738550050949035
Jewish,0.006153816826333917
kernel,0.006147305005606472
epithelium,0.006139835870879942
isotropic,0.0061255305011539115
AU,0.00612307208950142
moieties,0.0061044222012828836
monocytes,0.006097238578883792
sulfur,0.006089793495490406
inclination,0.006084948360364795
colorectal cancer,0.0060790832256148895
usability,0.006042813577804134
NS,0.006011707960188508
molecular dynamics,0.005994124464027258
Colombia,0.005984735169255032
archive,0.005962532031982954
flexion,0.005957978550335113
confidence level,0.005952518767236026
epistemic,0.005934195208643434
Western Europe,0.005933080849150474
retrograde,0.005928609929218688
taxon,0.00592222050854644
intravenously,0.005909586906589877
bipolar,0.005908355107756782
heritability,0.00590623219091006
suicide,0.005896024744808243
sensitivity analysis,0.005869875089483697
cluster analysis,0.00586944043214438
reaction time,0.005866300672157953
democracy,0.005862480426466368
vacuum,0.00584576733003179
DSM-IV,0.0058435233009478645
photosynthetic,0.0058399013665487
Poisson,0.0058268560030007525
Caucasian,0.0058048168670911645
Gy,0.005803336637774363
embryo,0.005801588180821619
Paris,0.005785130148029441
dialysis,0.005783935887951564
diurnal,0.005783756670213129
hemoglobin,0.005763686234107381
chromatographic,0.005755301347866043
phase transition,0.005740482705969575
voltage,0.005738813806037471
nitrate,0.005732320119664243
Logistic regression,0.005731360466639065
TeV,0.005727213231562672
genetics,0.005719003064406767
spleen,0.0057160618060796255
Finland,0.00570535481138082
simplex,0.0056884863061675865
E. coli,0.005681420679963304
kHz,0.00567360280761941
bladder,0.005666410832210116
methane,0.005665739526145005
grammar,0.00566516197118313
electromagnetic,0.005628319284156457
porcine,0.005622631559353227
theology,0.005622197121195417
histologic,0.005613867121764984
NP,0.005613256163519788
bacterium,0.005597266777280194
cDNA,0.005589163108521799
drought,0.0055818611432513114
helium,0.005576833127209461
sulfate,0.005556939641473967
actin,0.00555545774892239
flower,0.005552979266048211
progressed,0.005551617953636721
clade,0.005540917315280131
bird,0.0055174028132217775
inflation,0.005512226371783029
IQ,0.005468238603768549
bioavailability,0.0054671920153724005
exon,0.0054608098001681414
ontology,0.005453093299061266
forensic,0.005434817338763118
anaerobic,0.005375811173071354
osteoarthritis,0.005366100781815573
diabetes mellitus,0.005365666583656163
visual acuity,0.005361685592531424
ablation,0.005355749885545376
World Health Organization,0.005355005259845744
convex,0.00535315164862858
isoforms,0.005349976430988921
chlorophyll,0.005322780288780174
adjuvant,0.00531251160128296
New Zealand,0.005311806763619196
laparoscopic,0.0053067189366386505
gamma-ray,0.005305457616948162
plasma membrane,0.005303075942458219
Switzerland,0.00528881919053128
Phylogenetic,0.00528469191842668
wood,0.0052817939236662
Pleistocene,0.005264941585652858
autologous,0.005253644670018444
EMG,0.005251649635182169
balloon,0.005249538677013309
leukocyte,0.005245911779666727
cell cycle,0.005242428382961659
hemisphere,0.005229669484638843
mitochondria,0.0052269585469817016
endothelium,0.005217702382079361
interpolation,0.0051761042020886236
TNF,0.005164796413356781
corticosteroids,0.005158979911501399
mucosa,0.005147626764904803
biomechanical,0.005144231723037872
monophyletic,0.005139532159094927
hemodynamic,0.005133491512303238
dendritic cells,0.005131401518579203
modem,0.00512980698705834
leukocytes,0.005116120629139228
electrophysiological,0.005109195570703107
fungus,0.005098410684350419
bolus,0.0050917691732573905
HPV,0.005084987883569678
TNF-alpha,0.005078184307752956
stratigraphic,0.005044108729636115
Streptococcus,0.00504131059395898
undetectable,0.005027875888478562
Doppler,0.0050197318152110796
mathematics,0.005018091820578456
dipole,0.0050025082928919894
myocardium,0.005001153880199567
stem cell,0.004997532702474717
North Atlantic,0.004997185355374825
neutrophil,0.004985575955143744
albumin,0.004973719740589892
diastolic,0.0049647995355349694
arithmetic,0.0049644943796944485
fluvial,0.004954473337154076
DFT,0.004949590545523795
phosphorylated,0.00494700617841813
X-rays,0.004928676384245634
Belgian,0.004916116096492407
nitric oxide,0.00491549196415554
NaCl,0.004908902896440571
ischemic,0.004904797114008387
O-18,0.004903357544502195
lactate,0.004883230092618789
treadmill,0.004862495932125816
informed consent,0.004859760815979755
C-reactive protein,0.004857089997321675
30 days,0.0048518054402879734
Cox regression,0.004844990745895304
thrombosis,0.004843796329111802
Pacific,0.0048383697015380745
case-control study,0.00482823367694041
latitude,0.0047895218842945045
short time,0.004763039351946401
lymph nodes,0.004760887457767049
stenosis,0.004758520177898995
alkaline,0.004755851056495669
university hospital,0.004740763137665358
signal-to-noise ratio,0.0047392980666992384
GDP,0.004738499503394196
PAH,0.004737761641896444
PS,0.004722059085655784
eV,0.004716960656740249
endocrine,0.004714815194584755
L3,0.004708725679702034
ECG,0.004698895221034226
keV,0.00469555544026337
AM,0.0046797436008896185
melanoma,0.004675520211940223
synchronization,0.004660449579830482
psychosis,0.004655850999496922
birth weight,0.00464092920041024
cartilage,0.004637850728445786
NMR spectroscopy,0.004637356425539065
ER,0.00463708672674783
outgroup,0.004621896132524773
peat,0.004620933994533037
grassland,0.0046104974865226935
opacity,0.004610059299587296
RT-PCR,0.004608443366591732
polymerization,0.004607791561027964
receiver operating characteristic,0.004605595581566709
virulence,0.004601760663600907
SP,0.004597387535763355
glycoprotein,0.004585027640458492
bile,0.004583684442365213
rectal,0.00457387202154637
glutamate,0.004564341429954665
meta-analyses,0.00456092577200444
Cretaceous,0.004555721313941451
Symptom,0.0045522774993904695
skeletal muscle,0.0045513865990599554
Poland,0.004535264864851081
oxidase,0.004535026985947183
psychotherapy,0.004532290156992935
panel data,0.004529352963813939
Vietnam,0.004521992933602843
phylogeny,0.004521718030203104
Lippincott Williams & Wilkins,0.004518466418055045
catheter,0.004508583604094554
dysplasia,0.004506405639975205
gas chromatography,0.004476440239848467
locality,0.00446497576580121
signal transduction,0.004460252186288553
milk,0.004457867680496307
lumen,0.004455833410720224
integer,0.004449220224369633
bowel,0.0044418612926401925
dopaminergic,0.004437459336571692
ontological,0.004423347587479122
space group,0.004418677642858813
Leiden,0.004410394357735702
microwave,0.00440380240569796
anxiety disorders,0.004403082367573419
AR,0.004382601346201266
kJ,0.004382249349081903
genotyping,0.004381959535914646
flora,0.0043786182625336345
morphometric,0.004375781091445838
IC50,0.004363750522733401
intracranial,0.004349686822386896
retina,0.0043461577988270425
endoscopy,0.004346101578642852
rodent,0.004344233914078296
AP,0.004337668564691615
isomer,0.004329194897714736
power law,0.004318308785144838
half-life,0.004318306849088831
cytoplasm,0.004317595612459193
The strongest,0.004316893740119966
HF,0.004314459888191631
hepatocytes,0.004311234911430787
allergy,0.004305150951718475
transcription factors,0.00430132719542425
thyroid,0.004292154938078242
extracellular matrix,0.0042901006221731505
magnetization,0.004279767377180989
nonparametric,0.004277597850223288
ab initio,0.0042734807834356354
multiple regression,0.004263445173136895
hypoxia,0.004260424430370299
isometric,0.004257882402141537
subsidence,0.004253079853543412
The evidence,0.004250649825758028
paediatric,0.004245084445598797
missense,0.004243554998361961
pharmaceutical,0.004241341500147481
subspace,0.004239603294690176
galaxies,0.004233514240970021
cell wall,0.0042302658048951865
factor analysis,0.004229187129960317
desorption,0.004223561172358896
reporter,0.004219819044745394
mountain,0.0042192255021563955
social sciences,0.0042174393066295585
The algorithm,0.004211450026923075
abiotic,0.004208326992489494
benzene,0.0042020023529490145
alkyl,0.004201477496210069
amorphous,0.004199828975480691
PTSD,0.004199187793579542
creatinine,0.004155085226393571
construct validity,0.004150559068757567
animal model,0.0041481512395476336
ecosystem services,0.00413770618824358
serotonin,0.004129115268886701
field experiment,0.0041269628904680895
aureus,0.0041207465700554835
reflectance,0.00412053868285244
fibroblast,0.004115819993071924
Tanzania,0.004108443256027368
lipopolysaccharide,0.004091846333242643
workflow,0.0040885781796952455
density functional theory,0.004071659208219804
pipeline,0.004063984126996361
autopsy,0.004061345667873064
conceptual model,0.004058303530829405
pulsar,0.004054296780722054
histopathology,0.0040520420851348745
16S rRNA,0.004047438446901984
OECD,0.004047340163644475
Rhine,0.004037405871366725
physical examination,0.004036246787571369
entanglement,0.0040275829119361065
metastasis,0.004024294954267279
electrostatic,0.004022525052466818
Peru,0.0040072368749235945
ISO,0.003997612566073786
CD8,0.003996798862573007
Swedish,0.003990902248409288
PubMed,0.003970924069418335
arthritis,0.003960206987723717
colitis,0.003958997727247329
Multivariate analysis,0.00395036761464842
pneumonia,0.003940829938915038
autosomal dominant,0.00393288719283409
renal function,0.003928761896949197
temperate,0.003928348328182019
Holland,0.003915061280798017
