 "publication_type" , "journal_article" , "title" , "publication_year" , "author_name" , "journal_name" , "journal_issue_number" , "journal_volume_number" , "startEndPages" , "publisher_name" , "doi" , "cited_by_article" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/6" , "Prognostic Factors for Uterine Cancer in Reproductive-Aged Women" , "2007" , "Berek - Jonathan S." , "Obstetrics & Gynecology" , "3" , "109" , "655--662" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/01.aog.0000255980.88205.15" , "https://w3id.org/oc/corpus/br/6104010" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/6" , "Prognostic Factors for Uterine Cancer in Reproductive-Aged Women" , "2007" , "Kapp - Daniel S." , "Obstetrics & Gynecology" , "3" , "109" , "655--662" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/01.aog.0000255980.88205.15" , "https://w3id.org/oc/corpus/br/1" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/6" , "Prognostic Factors for Uterine Cancer in Reproductive-Aged Women" , "2007" , "Kapp - Daniel S." , "Obstetrics & Gynecology" , "3" , "109" , "655--662" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/01.aog.0000255980.88205.15" , "https://w3id.org/oc/corpus/br/4334235" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/6" , "Prognostic Factors for Uterine Cancer in Reproductive-Aged Women" , "2007" , "Kapp - Daniel S." , "Obstetrics & Gynecology" , "3" , "109" , "655--662" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/01.aog.0000255980.88205.15" , "https://w3id.org/oc/corpus/br/6104010" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/6" , "Prognostic Factors for Uterine Cancer in Reproductive-Aged Women" , "2007" , "Osann - Kathryn" , "Obstetrics & Gynecology" , "3" , "109" , "655--662" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/01.aog.0000255980.88205.15" , "https://w3id.org/oc/corpus/br/1" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/6" , "Prognostic Factors for Uterine Cancer in Reproductive-Aged Women" , "2007" , "Osann - Kathryn" , "Obstetrics & Gynecology" , "3" , "109" , "655--662" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/01.aog.0000255980.88205.15" , "https://w3id.org/oc/corpus/br/4334235" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/6" , "Prognostic Factors for Uterine Cancer in Reproductive-Aged Women" , "2007" , "Osann - Kathryn" , "Obstetrics & Gynecology" , "3" , "109" , "655--662" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/01.aog.0000255980.88205.15" , "https://w3id.org/oc/corpus/br/6104010" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/6" , "Prognostic Factors for Uterine Cancer in Reproductive-Aged Women" , "2007" , "Chan - John K." , "Obstetrics & Gynecology" , "3" , "109" , "655--662" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/01.aog.0000255980.88205.15" , "https://w3id.org/oc/corpus/br/1" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/6" , "Prognostic Factors for Uterine Cancer in Reproductive-Aged Women" , "2007" , "Chan - John K." , "Obstetrics & Gynecology" , "3" , "109" , "655--662" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/01.aog.0000255980.88205.15" , "https://w3id.org/oc/corpus/br/4334235" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/6" , "Prognostic Factors for Uterine Cancer in Reproductive-Aged Women" , "2007" , "Chan - John K." , "Obstetrics & Gynecology" , "3" , "109" , "655--662" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/01.aog.0000255980.88205.15" , "https://w3id.org/oc/corpus/br/6104010" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/68" , "Hormone-related factors and gynecological conditions in relation to endometrial cancer risk" , "2009" , "Dal Maso - L." , "European Journal of Cancer Prevention" , "4" , "18" , "316--321" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/cej.0b013e328329d830" , "https://w3id.org/oc/corpus/br/1" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/68" , "Hormone-related factors and gynecological conditions in relation to endometrial cancer risk" , "2009" , "Dal Maso - L." , "European Journal of Cancer Prevention" , "4" , "18" , "316--321" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/cej.0b013e328329d830" , "https://w3id.org/oc/corpus/br/1417639" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/68" , "Hormone-related factors and gynecological conditions in relation to endometrial cancer risk" , "2009" , "Dal Maso - L." , "European Journal of Cancer Prevention" , "4" , "18" , "316--321" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/cej.0b013e328329d830" , "https://w3id.org/oc/corpus/br/3408023" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/68" , "Hormone-related factors and gynecological conditions in relation to endometrial cancer risk" , "2009" , "Dal Maso - L." , "European Journal of Cancer Prevention" , "4" , "18" , "316--321" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/cej.0b013e328329d830" , "https://w3id.org/oc/corpus/br/3434598" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/68" , "Hormone-related factors and gynecological conditions in relation to endometrial cancer risk" , "2009" , "Dal Maso - L." , "European Journal of Cancer Prevention" , "4" , "18" , "316--321" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/cej.0b013e328329d830" , "https://w3id.org/oc/corpus/br/7450244" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/68" , "Hormone-related factors and gynecological conditions in relation to endometrial cancer risk" , "2009" , "Dal Maso - L." , "European Journal of Cancer Prevention" , "4" , "18" , "316--321" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/cej.0b013e328329d830" , "https://w3id.org/oc/corpus/br/7782664" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/68" , "Hormone-related factors and gynecological conditions in relation to endometrial cancer risk" , "2009" , "La Vecchia - C." , "European Journal of Cancer Prevention" , "4" , "18" , "316--321" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/cej.0b013e328329d830" , "https://w3id.org/oc/corpus/br/1" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/68" , "Hormone-related factors and gynecological conditions in relation to endometrial cancer risk" , "2009" , "La Vecchia - C." , "European Journal of Cancer Prevention" , "4" , "18" , "316--321" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/cej.0b013e328329d830" , "https://w3id.org/oc/corpus/br/1417639" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/68" , "Hormone-related factors and gynecological conditions in relation to endometrial cancer risk" , "2009" , "La Vecchia - C." , "European Journal of Cancer Prevention" , "4" , "18" , "316--321" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/cej.0b013e328329d830" , "https://w3id.org/oc/corpus/br/3408023" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/68" , "Hormone-related factors and gynecological conditions in relation to endometrial cancer risk" , "2009" , "La Vecchia - C." , "European Journal of Cancer Prevention" , "4" , "18" , "316--321" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/cej.0b013e328329d830" , "https://w3id.org/oc/corpus/br/3434598" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/68" , "Hormone-related factors and gynecological conditions in relation to endometrial cancer risk" , "2009" , "La Vecchia - C." , "European Journal of Cancer Prevention" , "4" , "18" , "316--321" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/cej.0b013e328329d830" , "https://w3id.org/oc/corpus/br/7450244" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/68" , "Hormone-related factors and gynecological conditions in relation to endometrial cancer risk" , "2009" , "La Vecchia - C." , "European Journal of Cancer Prevention" , "4" , "18" , "316--321" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/cej.0b013e328329d830" , "https://w3id.org/oc/corpus/br/7782664" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/60" , "Reproductive Factors and the Risk of Endometrial Cancer" , "2014" , "Ali - Aus Tariq" , "International Journal of Gynecological Cancer" , "3" , "24" , "384--393" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/igc.0000000000000075" , "https://w3id.org/oc/corpus/br/1" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/60" , "Reproductive Factors and the Risk of Endometrial Cancer" , "2014" , "Ali - Aus Tariq" , "International Journal of Gynecological Cancer" , "3" , "24" , "384--393" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/igc.0000000000000075" , "https://w3id.org/oc/corpus/br/5613069" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/60" , "Reproductive Factors and the Risk of Endometrial Cancer" , "2014" , "Ali - Aus Tariq" , "International Journal of Gynecological Cancer" , "3" , "24" , "384--393" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/igc.0000000000000075" , "https://w3id.org/oc/corpus/br/7782664" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/68" , "Hormone-related factors and gynecological conditions in relation to endometrial cancer risk" , "2009" , "Zucchetto - Antonella" , "European Journal of Cancer Prevention" , "4" , "18" , "316--321" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/cej.0b013e328329d830" , "https://w3id.org/oc/corpus/br/1" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/68" , "Hormone-related factors and gynecological conditions in relation to endometrial cancer risk" , "2009" , "Zucchetto - Antonella" , "European Journal of Cancer Prevention" , "4" , "18" , "316--321" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/cej.0b013e328329d830" , "https://w3id.org/oc/corpus/br/1417639" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/68" , "Hormone-related factors and gynecological conditions in relation to endometrial cancer risk" , "2009" , "Zucchetto - Antonella" , "European Journal of Cancer Prevention" , "4" , "18" , "316--321" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/cej.0b013e328329d830" , "https://w3id.org/oc/corpus/br/3408023" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/68" , "Hormone-related factors and gynecological conditions in relation to endometrial cancer risk" , "2009" , "Zucchetto - Antonella" , "European Journal of Cancer Prevention" , "4" , "18" , "316--321" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/cej.0b013e328329d830" , "https://w3id.org/oc/corpus/br/3434598" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/68" , "Hormone-related factors and gynecological conditions in relation to endometrial cancer risk" , "2009" , "Zucchetto - Antonella" , "European Journal of Cancer Prevention" , "4" , "18" , "316--321" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/cej.0b013e328329d830" , "https://w3id.org/oc/corpus/br/7450244" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/68" , "Hormone-related factors and gynecological conditions in relation to endometrial cancer risk" , "2009" , "Zucchetto - Antonella" , "European Journal of Cancer Prevention" , "4" , "18" , "316--321" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/cej.0b013e328329d830" , "https://w3id.org/oc/corpus/br/7782664" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/68" , "Hormone-related factors and gynecological conditions in relation to endometrial cancer risk" , "2009" , "Serraino - Diego" , "European Journal of Cancer Prevention" , "4" , "18" , "316--321" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/cej.0b013e328329d830" , "https://w3id.org/oc/corpus/br/1" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/68" , "Hormone-related factors and gynecological conditions in relation to endometrial cancer risk" , "2009" , "Serraino - Diego" , "European Journal of Cancer Prevention" , "4" , "18" , "316--321" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/cej.0b013e328329d830" , "https://w3id.org/oc/corpus/br/1417639" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/68" , "Hormone-related factors and gynecological conditions in relation to endometrial cancer risk" , "2009" , "Serraino - Diego" , "European Journal of Cancer Prevention" , "4" , "18" , "316--321" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/cej.0b013e328329d830" , "https://w3id.org/oc/corpus/br/3408023" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/68" , "Hormone-related factors and gynecological conditions in relation to endometrial cancer risk" , "2009" , "Serraino - Diego" , "European Journal of Cancer Prevention" , "4" , "18" , "316--321" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/cej.0b013e328329d830" , "https://w3id.org/oc/corpus/br/3434598" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/68" , "Hormone-related factors and gynecological conditions in relation to endometrial cancer risk" , "2009" , "Serraino - Diego" , "European Journal of Cancer Prevention" , "4" , "18" , "316--321" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/cej.0b013e328329d830" , "https://w3id.org/oc/corpus/br/7450244" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/68" , "Hormone-related factors and gynecological conditions in relation to endometrial cancer risk" , "2009" , "Serraino - Diego" , "European Journal of Cancer Prevention" , "4" , "18" , "316--321" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/cej.0b013e328329d830" , "https://w3id.org/oc/corpus/br/7782664" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/68" , "Hormone-related factors and gynecological conditions in relation to endometrial cancer risk" , "2009" , "Polesel - Jerry" , "European Journal of Cancer Prevention" , "4" , "18" , "316--321" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/cej.0b013e328329d830" , "https://w3id.org/oc/corpus/br/1" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/68" , "Hormone-related factors and gynecological conditions in relation to endometrial cancer risk" , "2009" , "Polesel - Jerry" , "European Journal of Cancer Prevention" , "4" , "18" , "316--321" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/cej.0b013e328329d830" , "https://w3id.org/oc/corpus/br/1417639" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/68" , "Hormone-related factors and gynecological conditions in relation to endometrial cancer risk" , "2009" , "Polesel - Jerry" , "European Journal of Cancer Prevention" , "4" , "18" , "316--321" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/cej.0b013e328329d830" , "https://w3id.org/oc/corpus/br/3408023" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/68" , "Hormone-related factors and gynecological conditions in relation to endometrial cancer risk" , "2009" , "Polesel - Jerry" , "European Journal of Cancer Prevention" , "4" , "18" , "316--321" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/cej.0b013e328329d830" , "https://w3id.org/oc/corpus/br/3434598" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/68" , "Hormone-related factors and gynecological conditions in relation to endometrial cancer risk" , "2009" , "Polesel - Jerry" , "European Journal of Cancer Prevention" , "4" , "18" , "316--321" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/cej.0b013e328329d830" , "https://w3id.org/oc/corpus/br/7450244" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/68" , "Hormone-related factors and gynecological conditions in relation to endometrial cancer risk" , "2009" , "Polesel - Jerry" , "European Journal of Cancer Prevention" , "4" , "18" , "316--321" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/cej.0b013e328329d830" , "https://w3id.org/oc/corpus/br/7782664" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/68" , "Hormone-related factors and gynecological conditions in relation to endometrial cancer risk" , "2009" , "Negri - Eva" , "European Journal of Cancer Prevention" , "4" , "18" , "316--321" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/cej.0b013e328329d830" , "https://w3id.org/oc/corpus/br/1" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/68" , "Hormone-related factors and gynecological conditions in relation to endometrial cancer risk" , "2009" , "Negri - Eva" , "European Journal of Cancer Prevention" , "4" , "18" , "316--321" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/cej.0b013e328329d830" , "https://w3id.org/oc/corpus/br/1417639" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/68" , "Hormone-related factors and gynecological conditions in relation to endometrial cancer risk" , "2009" , "Negri - Eva" , "European Journal of Cancer Prevention" , "4" , "18" , "316--321" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/cej.0b013e328329d830" , "https://w3id.org/oc/corpus/br/3408023" ,
