 "publication_type" , "journal_article" , "title" , "publication_year" , "author_name" , "journal_name" , "journal_issue_number" , "journal_volume_number" , "startEndPages" , "publisher_name" , "doi" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/46408" , "Perceived discrimination and health: A meta-analytic review." , "2009" , "Smart Richman - Laura" , "Psychological Bulletin" , "4" , "135" , "531--554" , "American Psychological Association (APA)" , "10.1037/a0016059" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/46641" , "Moderators of outcome in a brief family-centered intervention for preventing early problem behavior." , "2009" , "Gardner - Frances" , "Journal of Consulting and Clinical Psychology" , "3" , "77" , "543--553" , "American Psychological Association (APA)" , "10.1037/a0015622" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/46641" , "Moderators of outcome in a brief family-centered intervention for preventing early problem behavior." , "2009" , "Connell - Arin" , "Journal of Consulting and Clinical Psychology" , "3" , "77" , "543--553" , "American Psychological Association (APA)" , "10.1037/a0015622" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/46641" , "Moderators of outcome in a brief family-centered intervention for preventing early problem behavior." , "2009" , "Trentacosta - Christopher J." , "Journal of Consulting and Clinical Psychology" , "3" , "77" , "543--553" , "American Psychological Association (APA)" , "10.1037/a0015622" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/46641" , "Moderators of outcome in a brief family-centered intervention for preventing early problem behavior." , "2009" , "Shaw - Daniel S." , "Journal of Consulting and Clinical Psychology" , "3" , "77" , "543--553" , "American Psychological Association (APA)" , "10.1037/a0015622" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/46641" , "Moderators of outcome in a brief family-centered intervention for preventing early problem behavior." , "2009" , "Dishion - Thomas J." , "Journal of Consulting and Clinical Psychology" , "3" , "77" , "543--553" , "American Psychological Association (APA)" , "10.1037/a0015622" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/46641" , "Moderators of outcome in a brief family-centered intervention for preventing early problem behavior." , "2009" , "Wilson - Melvin N." , "Journal of Consulting and Clinical Psychology" , "3" , "77" , "543--553" , "American Psychological Association (APA)" , "10.1037/a0015622" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/46650" , "Statistical power and optimal design for multisite randomized trials." , "2000" , "Raudenbush - Stephen W." , "Psychological Methods" , "2" , "5" , "199--213" , "American Psychological Association (APA)" , "10.1037/1082-989x.5.2.199" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/46650" , "Statistical power and optimal design for multisite randomized trials." , "2000" , "Liu - Xiaofeng" , "Psychological Methods" , "2" , "5" , "199--213" , "American Psychological Association (APA)" , "10.1037/1082-989x.5.2.199" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/47542" , "Psychometrics of the Personal Questionnaire: A client-generated outcome measure." , "2016" , "Wagner - John" , "Psychological Assessment" , "3" , "28" , "263--278" , "American Psychological Association (APA)" , "10.1037/pas0000174" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/14581" , "Are Self-reported Pain Characteristics, Classified Using the PainDETECT Questionnaire, Predictive of Outcome in People With Low Back Pain and Associated Leg Pain?" , "2011" , "Morsø - Lars" , "The Clinical Journal of Pain" , "6" , "27" , "535--541" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/ajp.0b013e318208c941" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/14581" , "Are Self-reported Pain Characteristics, Classified Using the PainDETECT Questionnaire, Predictive of Outcome in People With Low Back Pain and Associated Leg Pain?" , "2011" , "Kent - Peter M." , "The Clinical Journal of Pain" , "6" , "27" , "535--541" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/ajp.0b013e318208c941" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/14581" , "Are Self-reported Pain Characteristics, Classified Using the PainDETECT Questionnaire, Predictive of Outcome in People With Low Back Pain and Associated Leg Pain?" , "2011" , "Albert - Hanne B." , "The Clinical Journal of Pain" , "6" , "27" , "535--541" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/ajp.0b013e318208c941" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/14585" , "The Roland–Morris Disability Questionnaire and the Oswestry Disability Questionnaire" , "2000" , "Roland - Martin" , "Spine" , "24" , "25" , "3115--3124" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/00007632-200012150-00006" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/14585" , "The Roland–Morris Disability Questionnaire and the Oswestry Disability Questionnaire" , "2000" , "Fairbank - Jeremy" , "Spine" , "24" , "25" , "3115--3124" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/00007632-200012150-00006" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/14610" , "Prevalence of chronic pain with neuropathic characteristics in the general population" , "2008" , "Bouhassira - Didier" , "Pain" , "3" , "136" , "380--387" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1016/j.pain.2007.08.013" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/14610" , "Prevalence of chronic pain with neuropathic characteristics in the general population" , "2008" , "Lantéri-Minet - Michel" , "Pain" , "3" , "136" , "380--387" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1016/j.pain.2007.08.013" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/14610" , "Prevalence of chronic pain with neuropathic characteristics in the general population" , "2008" , "Attal - Nadine" , "Pain" , "3" , "136" , "380--387" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1016/j.pain.2007.08.013" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/14610" , "Prevalence of chronic pain with neuropathic characteristics in the general population" , "2008" , "Laurent - Bernard" , "Pain" , "3" , "136" , "380--387" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1016/j.pain.2007.08.013" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/14610" , "Prevalence of chronic pain with neuropathic characteristics in the general population" , "2008" , "Touboul - Chantal" , "Pain" , "3" , "136" , "380--387" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1016/j.pain.2007.08.013" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/14626" , "Clinical Research" , "2009" , "Carragee - Eugene J." , "Spine" , "5" , "34" , "423--430" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/brs.0b013e318198c962" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/14626" , "Clinical Research" , "2009" , "Deyo - Richard A." , "Spine" , "5" , "34" , "423--430" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/brs.0b013e318198c962" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/14626" , "Clinical Research" , "2009" , "Kovacs - Francisco M." , "Spine" , "5" , "34" , "423--430" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/brs.0b013e318198c962" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/14626" , "Clinical Research" , "2009" , "Peul - Wilco C." , "Spine" , "5" , "34" , "423--430" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/brs.0b013e318198c962" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/14626" , "Clinical Research" , "2009" , "Lurie - Jon D." , "Spine" , "5" , "34" , "423--430" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/brs.0b013e318198c962" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/14626" , "Clinical Research" , "2009" , "Urrútia - Gerard" , "Spine" , "5" , "34" , "423--430" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/brs.0b013e318198c962" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/14626" , "Clinical Research" , "2009" , "Corbin - Terry P." , "Spine" , "5" , "34" , "423--430" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/brs.0b013e318198c962" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/14626" , "Clinical Research" , "2009" , "Schoene - Mark L." , "Spine" , "5" , "34" , "423--430" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/brs.0b013e318198c962" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/14839" , "The Relationship between Specialty Choice and Gender of U.S. Medical Students, 1990???2003" , "2005" , "Lambert - Emily M." , "Academic Medicine" , "9" , "80" , "797--802" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/00001888-200509000-00003" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/14839" , "The Relationship between Specialty Choice and Gender of U.S. Medical Students, 1990???2003" , "2005" , "Holmboe - Eric S." , "Academic Medicine" , "9" , "80" , "797--802" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/00001888-200509000-00003" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/14895" , "SEVERE OCULAR TRAUMA MANAGED WITH PRIMARY PARS PLANA VITRECTOMY AND SILICONE OIL" , "1997" , "SPIEGEL - DETLEV" , "Retina" , "4" , "17" , "275--285" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/00006982-199707000-00001" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/14895" , "SEVERE OCULAR TRAUMA MANAGED WITH PRIMARY PARS PLANA VITRECTOMY AND SILICONE OIL" , "1997" , "NASEMANN - JOACHIM" , "Retina" , "4" , "17" , "275--285" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/00006982-199707000-00001" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/14895" , "SEVERE OCULAR TRAUMA MANAGED WITH PRIMARY PARS PLANA VITRECTOMY AND SILICONE OIL" , "1997" , "NAWROCKI - JERZY" , "Retina" , "4" , "17" , "275--285" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/00006982-199707000-00001" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/14895" , "SEVERE OCULAR TRAUMA MANAGED WITH PRIMARY PARS PLANA VITRECTOMY AND SILICONE OIL" , "1997" , "GABEL - VEIT-PETER" , "Retina" , "4" , "17" , "275--285" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/00006982-199707000-00001" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/14910" , "RESOURCES INVOLVED IN MANAGING RETINAL DETACHMENT COMPLICATED BY PROLIFERATIVE VITREORETINOPATHY" , "2004" , "PATEL - NANDESH N." , "Retina" , "6" , "24" , "883--887" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/00006982-200412000-00007" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/14910" , "RESOURCES INVOLVED IN MANAGING RETINAL DETACHMENT COMPLICATED BY PROLIFERATIVE VITREORETINOPATHY" , "2004" , "BUNCE - CATEY" , "Retina" , "6" , "24" , "883--887" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/00006982-200412000-00007" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/14910" , "RESOURCES INVOLVED IN MANAGING RETINAL DETACHMENT COMPLICATED BY PROLIFERATIVE VITREORETINOPATHY" , "2004" , "ASARIA - RIAZ H." , "Retina" , "6" , "24" , "883--887" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/00006982-200412000-00007" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/14910" , "RESOURCES INVOLVED IN MANAGING RETINAL DETACHMENT COMPLICATED BY PROLIFERATIVE VITREORETINOPATHY" , "2004" , "CHARTERIS - DAVID G." , "Retina" , "6" , "24" , "883--887" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/00006982-200412000-00007" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/14922" , "THERAPEUTIC EFFECT OF PERIOCULAR CORTICOSTEROIDS IN EXPERIMENTAL PROLIFERATIVE VlTREORETINOPATHY" , "1997" , "RUBSAMEN - PATRICK E." , "Retina" , "1" , "17" , "44--50" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/00006982-199701000-00009" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/14922" , "THERAPEUTIC EFFECT OF PERIOCULAR CORTICOSTEROIDS IN EXPERIMENTAL PROLIFERATIVE VlTREORETINOPATHY" , "1997" , "COUSINS - SCOTT W." , "Retina" , "1" , "17" , "44--50" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/00006982-199701000-00009" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/14956" , "TRIAMCINOLONE ACETONIDE AS AN AID TO VISUALIZATION OF THE VITREOUS AND THE POSTERIOR HYALOID DURING PARS PLANA VITRECTOMY" , "2000" , "PEYMAN - GHOLAM A" , "Retina" , "5" , "20" , "554--555" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/00006982-200005000-00024" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/14956" , "TRIAMCINOLONE ACETONIDE AS AN AID TO VISUALIZATION OF THE VITREOUS AND THE POSTERIOR HYALOID DURING PARS PLANA VITRECTOMY" , "2000" , "CHEEMA - RIZWAN" , "Retina" , "5" , "20" , "554--555" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/00006982-200005000-00024" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/14956" , "TRIAMCINOLONE ACETONIDE AS AN AID TO VISUALIZATION OF THE VITREOUS AND THE POSTERIOR HYALOID DURING PARS PLANA VITRECTOMY" , "2000" , "CONWAY - MANDI D" , "Retina" , "5" , "20" , "554--555" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/00006982-200005000-00024" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/14956" , "TRIAMCINOLONE ACETONIDE AS AN AID TO VISUALIZATION OF THE VITREOUS AND THE POSTERIOR HYALOID DURING PARS PLANA VITRECTOMY" , "2000" , "FANG - TING" , "Retina" , "5" , "20" , "554--555" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/00006982-200005000-00024" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/14962" , "SECONDARY OCULAR HYPERTENSION AFTER INTRAVITREAL INJECTION OF 4 MG OF TRIAMCINOLONE ACETONIDE" , "2008" , "VASCONCELOS-SANTOS - DANIEL V." , "Retina" , "4" , "28" , "573--580" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/iae.0b013e31816079e8" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/14962" , "SECONDARY OCULAR HYPERTENSION AFTER INTRAVITREAL INJECTION OF 4 MG OF TRIAMCINOLONE ACETONIDE" , "2008" , "NEHEMY - PATRÍCIA G." , "Retina" , "4" , "28" , "573--580" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/iae.0b013e31816079e8" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/14962" , "SECONDARY OCULAR HYPERTENSION AFTER INTRAVITREAL INJECTION OF 4 MG OF TRIAMCINOLONE ACETONIDE" , "2008" , "SCHACHAT - ANDREW P." , "Retina" , "4" , "28" , "573--580" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/iae.0b013e31816079e8" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/14962" , "SECONDARY OCULAR HYPERTENSION AFTER INTRAVITREAL INJECTION OF 4 MG OF TRIAMCINOLONE ACETONIDE" , "2008" , "NEHEMY - MÁRCIO B." , "Retina" , "4" , "28" , "573--580" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/iae.0b013e31816079e8" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/15109" , "Increased Documented Brief Alcohol Interventions With a Performance Measure and Electronic Decision Support" , "2012" , "Lapham - Gwen T." , "Medical Care" , "2" , "50" , "179--187" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/mlr.0b013e3181e35743" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/15109" , "Increased Documented Brief Alcohol Interventions With a Performance Measure and Electronic Decision Support" , "2012" , "Achtmeyer - Carol E." , "Medical Care" , "2" , "50" , "179--187" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/mlr.0b013e3181e35743" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/15109" , "Increased Documented Brief Alcohol Interventions With a Performance Measure and Electronic Decision Support" , "2012" , "Williams - Emily C." , "Medical Care" , "2" , "50" , "179--187" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/mlr.0b013e3181e35743" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/15109" , "Increased Documented Brief Alcohol Interventions With a Performance Measure and Electronic Decision Support" , "2012" , "Hawkins - Eric J." , "Medical Care" , "2" , "50" , "179--187" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/mlr.0b013e3181e35743" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/15109" , "Increased Documented Brief Alcohol Interventions With a Performance Measure and Electronic Decision Support" , "2012" , "Kivlahan - Daniel R." , "Medical Care" , "2" , "50" , "179--187" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/mlr.0b013e3181e35743" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/15109" , "Increased Documented Brief Alcohol Interventions With a Performance Measure and Electronic Decision Support" , "2012" , "Bradley - Katharine A." , "Medical Care" , "2" , "50" , "179--187" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/mlr.0b013e3181e35743" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/15411" , "HEIDELBERG SPECTRAL-DOMAIN OPTICAL COHERENCE TOMOGRAPHIC FINDINGS IN RETINAL ARTERY MACROANEURYSM" , "2012" , "Goldenberg - Dafna" , "Retina" , "5" , "32" , "990--995" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/iae.0b013e318229b233" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/15411" , "HEIDELBERG SPECTRAL-DOMAIN OPTICAL COHERENCE TOMOGRAPHIC FINDINGS IN RETINAL ARTERY MACROANEURYSM" , "2012" , "Soiberman - Uri" , "Retina" , "5" , "32" , "990--995" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/iae.0b013e318229b233" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/15411" , "HEIDELBERG SPECTRAL-DOMAIN OPTICAL COHERENCE TOMOGRAPHIC FINDINGS IN RETINAL ARTERY MACROANEURYSM" , "2012" , "Loewenstein - Anat" , "Retina" , "5" , "32" , "990--995" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/iae.0b013e318229b233" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/15411" , "HEIDELBERG SPECTRAL-DOMAIN OPTICAL COHERENCE TOMOGRAPHIC FINDINGS IN RETINAL ARTERY MACROANEURYSM" , "2012" , "Goldstein - Michaella" , "Retina" , "5" , "32" , "990--995" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/iae.0b013e318229b233" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/15886" , "Emergency Magnetic Resonance Imaging of Cervical Spinal Cord Injuries: Clinical Correlation and Prognosis" , "1999" , "Selden - Nathan R." , "Neurosurgery" , "4" , "44" , "785--792" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/00006123-199904000-00057" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/15886" , "Emergency Magnetic Resonance Imaging of Cervical Spinal Cord Injuries: Clinical Correlation and Prognosis" , "1999" , "Quint - Douglas J." , "Neurosurgery" , "4" , "44" , "785--792" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/00006123-199904000-00057" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/15886" , "Emergency Magnetic Resonance Imaging of Cervical Spinal Cord Injuries: Clinical Correlation and Prognosis" , "1999" , "Patel - Nayna" , "Neurosurgery" , "4" , "44" , "785--792" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/00006123-199904000-00057" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/15886" , "Emergency Magnetic Resonance Imaging of Cervical Spinal Cord Injuries: Clinical Correlation and Prognosis" , "1999" , "d'Arcy - Hannah S." , "Neurosurgery" , "4" , "44" , "785--792" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/00006123-199904000-00057" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/15886" , "Emergency Magnetic Resonance Imaging of Cervical Spinal Cord Injuries: Clinical Correlation and Prognosis" , "1999" , "Papadopoulos - Stephen M." , "Neurosurgery" , "4" , "44" , "785--792" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/00006123-199904000-00057" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/15895" , "The Three Column Spine and Its Significance in the Classification of Acute Thoracolumbar Spinal Injuries" , "1983" , "DENIS - FRANCIS" , "Spine" , "8" , "8" , "817--831" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/00007632-198311000-00003" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/15926" , "A New Classification of Thoracolumbar Injuries" , "2005" , "Vaccaro - Alexander R." , "Spine" , "20" , "30" , "2325--2333" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/01.brs.0000182986.43345.cb" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/15926" , "A New Classification of Thoracolumbar Injuries" , "2005" , "Lehman - Ronald A." , "Spine" , "20" , "30" , "2325--2333" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/01.brs.0000182986.43345.cb" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/15926" , "A New Classification of Thoracolumbar Injuries" , "2005" , "Hurlbert - R John" , "Spine" , "20" , "30" , "2325--2333" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/01.brs.0000182986.43345.cb" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/15926" , "A New Classification of Thoracolumbar Injuries" , "2005" , "Anderson - Paul A." , "Spine" , "20" , "30" , "2325--2333" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/01.brs.0000182986.43345.cb" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/15926" , "A New Classification of Thoracolumbar Injuries" , "2005" , "Harris - Mitchel" , "Spine" , "20" , "30" , "2325--2333" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/01.brs.0000182986.43345.cb" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/15926" , "A New Classification of Thoracolumbar Injuries" , "2005" , "Hedlund - Rune" , "Spine" , "20" , "30" , "2325--2333" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/01.brs.0000182986.43345.cb" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/15926" , "A New Classification of Thoracolumbar Injuries" , "2005" , "Harrop - James" , "Spine" , "20" , "30" , "2325--2333" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/01.brs.0000182986.43345.cb" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/15926" , "A New Classification of Thoracolumbar Injuries" , "2005" , "Dvorak - Marcel" , "Spine" , "20" , "30" , "2325--2333" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/01.brs.0000182986.43345.cb" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/15926" , "A New Classification of Thoracolumbar Injuries" , "2005" , "Wood - Kirkham" , "Spine" , "20" , "30" , "2325--2333" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/01.brs.0000182986.43345.cb" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/15926" , "A New Classification of Thoracolumbar Injuries" , "2005" , "Fehlings - Michael G." , "Spine" , "20" , "30" , "2325--2333" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/01.brs.0000182986.43345.cb" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/15926" , "A New Classification of Thoracolumbar Injuries" , "2005" , "Fisher - Charles" , "Spine" , "20" , "30" , "2325--2333" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/01.brs.0000182986.43345.cb" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/15926" , "A New Classification of Thoracolumbar Injuries" , "2005" , "Zeiller - Steven C." , "Spine" , "20" , "30" , "2325--2333" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/01.brs.0000182986.43345.cb" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/15926" , "A New Classification of Thoracolumbar Injuries" , "2005" , "Anderson - D Greg" , "Spine" , "20" , "30" , "2325--2333" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/01.brs.0000182986.43345.cb" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/15926" , "A New Classification of Thoracolumbar Injuries" , "2005" , "Bono - Christopher M." , "Spine" , "20" , "30" , "2325--2333" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/01.brs.0000182986.43345.cb" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/15926" , "A New Classification of Thoracolumbar Injuries" , "2005" , "Stock - Gordon H." , "Spine" , "20" , "30" , "2325--2333" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/01.brs.0000182986.43345.cb" ,
